"Step","2025.11.29_09.59.54 - reward_mean","2025.11.29_09.59.54 - reward_mean__MIN","2025.11.29_09.59.54 - reward_mean__MAX","2025.11.26_03.19.21 - reward_mean","2025.11.26_03.19.21 - reward_mean__MIN","2025.11.26_03.19.21 - reward_mean__MAX","2025.11.25_00.19.07 - reward_mean","2025.11.25_00.19.07 - reward_mean__MIN","2025.11.25_00.19.07 - reward_mean__MAX","2025.11.24_00.42.21 - reward_mean","2025.11.24_00.42.21 - reward_mean__MIN","2025.11.24_00.42.21 - reward_mean__MAX","2025.11.23_04.08.27 - reward_mean","2025.11.23_04.08.27 - reward_mean__MIN","2025.11.23_04.08.27 - reward_mean__MAX"
"0","-114.82196875","-114.82196875","-114.82196875","-114.82196875","-114.82196875","-114.82196875","-114.82196875","-114.82196875","-114.82196875","-114.82196875","-114.82196875","-114.82196875","-114.82196875","-114.82196875","-114.82196875"
"4","-112.06646875","-112.06646875","-112.06646875","-112.18059374999999","-112.18059374999999","-112.18059374999999","-112.03759375","-112.03759375","-112.03759375","-112.26137500000002","-112.26137500000002","-112.26137500000002","-112.21618749999999","-112.21618749999999","-112.21618749999999"
"8","-107.1518125","-107.1518125","-107.1518125","-107.4041875","-107.4041875","-107.4041875","-106.94821875","-106.94821875","-106.94821875","-107.26193749999999","-107.26193749999999","-107.26193749999999","-107.14203125","-107.14203125","-107.14203125"
"12","-102.984125","-102.984125","-102.984125","-103.060375","-103.060375","-103.060375","-103.098875","-103.098875","-103.098875","-103.17490624999999","-103.17490624999999","-103.17490624999999","-103.12678125","-103.12678125","-103.12678125"
"16","-101.74071874999998","-101.74071874999998","-101.74071874999998","-101.9195","-101.9195","-101.9195","-102.25971875","-102.25971875","-102.25971875","-102.264","-102.264","-102.264","-101.9116875","-101.9116875","-101.9116875"
"20","-105.4175625","-105.4175625","-105.4175625","-104.7086875","-104.7086875","-104.7086875","-105.29053125000002","-105.29053125000002","-105.29053125000002","-104.93553125","-104.93553125","-104.93553125","-105.03478125000001","-105.03478125000001","-105.03478125000001"
"24","-111.7985","-111.7985","-111.7985","-112.22378125","-112.22378125","-112.22378125","-112.12506249999998","-112.12506249999998","-112.12506249999998","-112.59090624999999","-112.59090624999999","-112.59090624999999","-112.41021875000001","-112.41021875000001","-112.41021875000001"
"28","-100.12021875","-100.12021875","-100.12021875","-101.091875","-101.091875","-101.091875","-100.6859375","-100.6859375","-100.6859375","-101.53134374999999","-101.53134374999999","-101.53134374999999","-101.05021875","-101.05021875","-101.05021875"
"32","-103.54209374999999","-103.54209374999999","-103.54209374999999","-103.2203125","-103.2203125","-103.2203125","-103.95446874999999","-103.95446874999999","-103.95446874999999","-102.928125","-102.928125","-102.928125","-105.0599375","-105.0599375","-105.0599375"
"36","-102.952","-102.952","-102.952","-102.38006250000001","-102.38006250000001","-102.38006250000001","-103.2590625","-103.2590625","-103.2590625","-103.35843750000001","-103.35843750000001","-103.35843750000001","-104.046375","-104.046375","-104.046375"
"40","-99.7500625","-99.7500625","-99.7500625","-97.54546875","-97.54546875","-97.54546875","-96.99790625","-96.99790625","-96.99790625","-98.72365625","-98.72365625","-98.72365625","-100.13428125","-100.13428125","-100.13428125"
"44","-98.84396874999999","-98.84396874999999","-98.84396874999999","-96.23309375000001","-96.23309375000001","-96.23309375000001","-100.827375","-100.827375","-100.827375","-99.03965625","-99.03965625","-99.03965625","-98.96584375","-98.96584375","-98.96584375"
"48","-103.86909375","-103.86909375","-103.86909375","-99.69746875000001","-99.69746875000001","-99.69746875000001","-102.2723125","-102.2723125","-102.2723125","-103.9041875","-103.9041875","-103.9041875","-105.90950000000001","-105.90950000000001","-105.90950000000001"
"52","-97.44774999999998","-97.44774999999998","-97.44774999999998","-93.51465625","-93.51465625","-93.51465625","-94.52374999999999","-94.52374999999999","-94.52374999999999","-97.26037500000001","-97.26037500000001","-97.26037500000001","-96.42659375","-96.42659375","-96.42659375"
"56","-88.8839375","-88.8839375","-88.8839375","-85.8491875","-85.8491875","-85.8491875","-87.95471875","-87.95471875","-87.95471875","-93.73725","-93.73725","-93.73725","-89.719875","-89.719875","-89.719875"
"60","-105.6654375","-105.6654375","-105.6654375","-100.44049999999999","-100.44049999999999","-100.44049999999999","-101.10875","-101.10875","-101.10875","-105.17140624999999","-105.17140624999999","-105.17140624999999","-105.83046875","-105.83046875","-105.83046875"
"64","-84.45075","-84.45075","-84.45075","-80.96265625","-80.96265625","-80.96265625","-81.89921875","-81.89921875","-81.89921875","-83.2599375","-83.2599375","-83.2599375","-82.74759375000001","-82.74759375000001","-82.74759375000001"
"68","-85.31425","-85.31425","-85.31425","-83.81003125","-83.81003125","-83.81003125","-83.8365625","-83.8365625","-83.8365625","-85.0114375","-85.0114375","-85.0114375","-84.593","-84.593","-84.593"
"72","-86.39640625","-86.39640625","-86.39640625","-85.45559375","-85.45559375","-85.45559375","-86.207","-86.207","-86.207","-86.85412500000001","-86.85412500000001","-86.85412500000001","-88.0585","-88.0585","-88.0585"
"76","-85.8205","-85.8205","-85.8205","-84.86375000000001","-84.86375000000001","-84.86375000000001","-84.01178125","-84.01178125","-84.01178125","-85.64465625","-85.64465625","-85.64465625","-83.76946874999999","-83.76946874999999","-83.76946874999999"
"80","-84.7295","-84.7295","-84.7295","-83.3181875","-83.3181875","-83.3181875","-84.01009375","-84.01009375","-84.01009375","-84.76512500000001","-84.76512500000001","-84.76512500000001","-82.61259375","-82.61259375","-82.61259375"
"84","-90.24796875","-90.24796875","-90.24796875","-88.49449999999999","-88.49449999999999","-88.49449999999999","-90.10446875","-90.10446875","-90.10446875","-92.00346875","-92.00346875","-92.00346875","-87.2485","-87.2485","-87.2485"
"88","-84.07221875","-84.07221875","-84.07221875","-80.94871875000001","-80.94871875000001","-80.94871875000001","-84.45328125","-84.45328125","-84.45328125","-84.12525","-84.12525","-84.12525","-81.547875","-81.547875","-81.547875"
"92","-76.99453125","-76.99453125","-76.99453125","-73.44528125000001","-73.44528125000001","-73.44528125000001","-76.822875","-76.822875","-76.822875","-79.92853124999999","-79.92853124999999","-79.92853124999999","-77.75509375","-77.75509375","-77.75509375"
