"Step","2025.12.04_09.27.31 - reward_mean","2025.12.04_09.27.31 - reward_mean__MIN","2025.12.04_09.27.31 - reward_mean__MAX","2025.12.04_07.22.35 - reward_mean","2025.12.04_07.22.35 - reward_mean__MIN","2025.12.04_07.22.35 - reward_mean__MAX","2025.12.04_02.41.16 - reward_mean","2025.12.04_02.41.16 - reward_mean__MIN","2025.12.04_02.41.16 - reward_mean__MAX","2025.12.03_22.37.47 - reward_mean","2025.12.03_22.37.47 - reward_mean__MIN","2025.12.03_22.37.47 - reward_mean__MAX","2025.12.03_12.29.51 - reward_mean","2025.12.03_12.29.51 - reward_mean__MIN","2025.12.03_12.29.51 - reward_mean__MAX"
"0","-110.28550000000001","-110.28550000000001","-110.28550000000001","-107.2814375","-107.2814375","-107.2814375","-100.91115625","-100.91115625","-100.91115625","-111.27881249999999","-111.27881249999999","-111.27881249999999","-114.82196875","-114.82196875","-114.82196875"
"4","-102.11375","-102.11375","-102.11375","-107.94343750000002","-107.94343750000002","-107.94343750000002","-97.83915625","-97.83915625","-97.83915625","-113.918125","-113.918125","-113.918125","-108.03078125","-108.03078125","-108.03078125"
"8","-99.44590625000001","-99.44590625000001","-99.44590625000001","-101.32990625","-101.32990625","-101.32990625","-87.95400000000001","-87.95400000000001","-87.95400000000001","-116.48906249999999","-116.48906249999999","-116.48906249999999","-102.08378125","-102.08378125","-102.08378125"
"12","-98.59459375","-98.59459375","-98.59459375","-100.37959375","-100.37959375","-100.37959375","-87.015125","-87.015125","-87.015125","-108.80215625000001","-108.80215625000001","-108.80215625000001","-119.56796874999999","-119.56796874999999","-119.56796874999999"
"16","-117.7444375","-117.7444375","-117.7444375","-82.84290625","-82.84290625","-82.84290625","-86.2603125","-86.2603125","-86.2603125","-89.64790625","-89.64790625","-89.64790625","-133.435375","-133.435375","-133.435375"
"20","-119.08396875","-119.08396875","-119.08396875","-87.90956249999999","-87.90956249999999","-87.90956249999999","-69.98315625000001","-69.98315625000001","-69.98315625000001","-90.5658125","-90.5658125","-90.5658125","-123.22025","-123.22025","-123.22025"
"24","-88.6315625","-88.6315625","-88.6315625","-106.111375","-106.111375","-106.111375","-66.33071875","-66.33071875","-66.33071875","-91.39853125","-91.39853125","-91.39853125","-150.31406249999998","-150.31406249999998","-150.31406249999998"
"28","-87.23546875","-87.23546875","-87.23546875","-111.193","-111.193","-111.193","-59.625625","-59.625625","-59.625625","-69.86565625","-69.86565625","-69.86565625","-159.8353125","-159.8353125","-159.8353125"
"32","-145.27353125","-145.27353125","-145.27353125","-165.656","-165.656","-165.656","-47.25065625","-47.25065625","-47.25065625","-104.56596875","-104.56596875","-104.56596875","-176.90903125","-176.90903125","-176.90903125"
"36","-154.93734375","-154.93734375","-154.93734375","-161.60784375","-161.60784375","-161.60784375","-65.31690625","-65.31690625","-65.31690625","-136.65275","-136.65275","-136.65275","-180.33428125","-180.33428125","-180.33428125"
"40","-145.78178125","-145.78178125","-145.78178125","-185.16665625000002","-185.16665625000002","-185.16665625000002","-54.775281250000006","-54.775281250000006","-54.775281250000006","-144.4209375","-144.4209375","-144.4209375","-185.472125","-185.472125","-185.472125"
"44","-152.59259375","-152.59259375","-152.59259375","-190.03846875","-190.03846875","-190.03846875","-52.0925","-52.0925","-52.0925","-139.9034375","-139.9034375","-139.9034375","-189.1676875","-189.1676875","-189.1676875"
"48","-173.23653124999998","-173.23653124999998","-173.23653124999998","-184.55371875000003","-184.55371875000003","-184.55371875000003","-58.60634375000001","-58.60634375000001","-58.60634375000001","-152.04609375","-152.04609375","-152.04609375","-185.90478124999998","-185.90478124999998","-185.90478124999998"
"52","-164.57278125","-164.57278125","-164.57278125","-179.84571875","-179.84571875","-179.84571875","-72.39975","-72.39975","-72.39975","-141.51865625","-141.51865625","-141.51865625","-188.81065625000002","-188.81065625000002","-188.81065625000002"
"56","-102.321875","-102.321875","-102.321875","-179.68746875000002","-179.68746875000002","-179.68746875000002","-77.19184375","-77.19184375","-77.19184375","-63.496375","-63.496375","-63.496375","-191.2384375","-191.2384375","-191.2384375"
"60","-164.25103125","-164.25103125","-164.25103125","-161.51225","-161.51225","-161.51225","-80.9619375","-80.9619375","-80.9619375","-46.82390625","-46.82390625","-46.82390625","-190.51265625000002","-190.51265625000002","-190.51265625000002"
"64","-181.88159374999998","-181.88159374999998","-181.88159374999998","-143.629625","-143.629625","-143.629625","-72.3053125","-72.3053125","-72.3053125","-47.6551875","-47.6551875","-47.6551875","-192.68896875000002","-192.68896875000002","-192.68896875000002"
"68","-182.58346875","-182.58346875","-182.58346875","-95.53096875","-95.53096875","-95.53096875","-66.178125","-66.178125","-66.178125","-49.057312499999995","-49.057312499999995","-49.057312499999995","-190.40853125","-190.40853125","-190.40853125"
